id,judul,link,harga,lokasi,image_url,image_path,kamar_tidur,kamar_mandi,parkir,luas_bangunan,luas_tanah,waktu_update
57,Villa Private Pool Siap Huni di Pusat Kota Jogja,https://www.rumah123.com/properti/yogyakarta/hos18280034/,369.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/b1dc212e1d9184c8c2ef9fb8129b3549.jpg,property_images\property_57.jpg,1.0,1.0,1.0,,,2024-11-07 13:25:43.603182
58,Villa Eksklusif Mezzanine di Dekat Ugm Jogja,https://www.rumah123.com/properti/yogyakarta/hos17949057/,200.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/735499791aa73e5533b6d9889f820a6f.jpg,property_images\property_58.jpg,1.0,1.0,1.0,,,2024-11-07 13:25:45.496477
59,Rumah Private Pool Murah Dekat Exit Tol Jogja,https://www.rumah123.com/properti/yogyakarta/hos17965787/,360.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/9da6df8e63b6119154731fab2007dad4.jpg,property_images\property_59.jpg,2.0,1.0,1.0,,,2024-11-07 13:25:47.346412
60,Hunian Mewah Private Pool di Maguwoharjo Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos17726542/,1000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/2024-07-30-08-04-42-c738123d-b8e1-4daf-8f31-6d5899cdf8da.jpg,property_images\property_60.jpg,3.0,2.0,2.0,,,2024-11-07 13:25:52.931623
61,Promo Villa Mewah Suasana Asri di Maguwoharjo,https://www.rumah123.com/properti/yogyakarta/hos17938353/,1000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/e6b60be8e392ce274465423108ebb315.jpg,property_images\property_61.jpg,3.0,2.0,1.0,,,2024-11-07 13:25:54.397428
62,Rumah Mezzanine dekat Kampus Amikom Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos17662200/,199.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/2024-07-22-15-39-51-b3a24203-1583-4401-9fd9-2e35be6a07bd.jpg,property_images\property_62.jpg,1.0,1.0,1.0,,,2024-11-07 13:25:57.811848
63,Hunian Mezzanine Full Furnished Dekat Kampus UPN Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos17693177/,199.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/2024-07-25-13-48-46-c09fc585-9d1a-423d-9e79-9d25240e5e91.jpg,property_images\property_63.jpg,1.0,1.0,1.0,,,2024-11-07 13:26:02.196106
64,Villa Mewah Private Pool Maguwoharjo Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos17830611/,1000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/4448ae8ecebf84cc9bebf4b261e5ed56.jpg,property_images\property_64.jpg,3.0,2.0,2.0,,,2024-11-07 13:26:04.219287
65,Villa Private Pool Full Furnished di Kaliurang Jogja,https://www.rumah123.com/properti/yogyakarta/hos18053839/,300.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/7af0877a71e49978def387bfaab9eec4.jpg,property_images\property_65.jpg,1.0,1.0,1.0,,,2024-11-07 13:26:07.188226
66,"VILLA MANTRIJERON KERATON MALIOBORO, AREA KAMPUNG BULE, PUSAT WISATA GUEST HOUSE, CAFE RESTO BULE MANCANEGARA. HIDDEN GEM, PRIVATE POOL, FULL FURNISHED HARGA DISKON",https://www.rumah123.com/properti/yogyakarta/hos17289485/,2000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1695836/2024-06-06-08-44-29-47823aa5-0910-40ba-b343-f571cfdb67b1-1717638269.jpg,property_images\property_66.jpg,2.0,2.0,,,,2024-11-07 13:26:13.140258
67,Rumah Mewah 2 Lantai Dalam Cluster Dekat Kampus Umy Dan Ugm Jogja,https://www.rumah123.com/properti/yogyakarta/hos18352112/,2000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1968845/6ef0e477c68232211d1ef1e68d8ecba4.jpg,property_images\property_67.jpg,4.0,3.0,2.0,,,2024-11-07 13:26:19.060420
68,rumah mewah design classic bonus kolam renang dekat tol maguwo,https://www.rumah123.com/properti/yogyakarta/hos17828739/,1000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1968845/8a5855e305f285fc78549087981841eb.jpg,property_images\property_68.jpg,3.0,2.0,2.0,,,2024-11-07 13:26:21.986446
