Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean
RUMAH SIAP HUNI SIDOARUM,"Tegalrejo, Yogyakarta",850000000.0,3.0,2.0,1,179.0,105.0,0.0008158443989529163,0.025316455696202535,0.005319148936170213,0.0,5.0857157387759256e-05,8.888896486236314e-05,rumah siap huni sidoarum,tegalrejo yogyakarta,jual rumah cantik nan megah sidoarum jl godean km 6 lt 179 lb 105 k tdr 3 k md 2 dapur r kel,rumah siap huni dekat sekolah dekat fasilitas sehat
"Dijual rumah murah Maguwoharjo Sleman Dekat Jogjabay,stadion Maguwoharjo,RS Hermina,kampus UPN","Depok, Sleman",998000000.0,3.0,2.0,1,91.0,100.0,0.0009639977376584765,0.025316455696202535,0.005319148936170213,0.0,2.571429306122659e-05,8.461545693628798e-05,jual rumah murah maguwoharjo sleman dekat jogjabay stadion maguwoharjo rs hermina kampus upn,depok sleman,jual rumah modern maguwoharjo sleman dekat jogjabay stadion maguwoharjo lotte mart rs hermina,rumah dekat akses transportasi dekat pusat belanja dekat sekolah
"Rumah dlm Perumahan dkt JIH dan Hartono mall, Concat","Condong Catur, Sleman",28000000000.0,5.0,4.0,2,200.0,200.0,0.027993973762844543,0.05063291139240507,0.015957446808510637,0.05263157894736842,5.685715910204546e-05,0.00017008561545779098,rumah dlm rumah dkt jih hartono mall concat,condong catur sleman,rumah dgn bangun yg kualitas dlm rumah condong catur lokasi strategis lingkung,rumah dekat pusat belanja dekat sekolah
Perumahan Eksklusif Jogja Area Premium Utara Hotel Seraton Sleman,"Depok, Sleman",125000000000.0,3.0,2.0,1,104.0,130.0,0.12509447277932662,0.025316455696202535,0.005319148936170213,0.0,2.9428579836737096e-05,0.00011025650449273888,rumah eksklusif jogja area premium utara hotel seraton sleman,depok sleman,lokasi strategis area hotel grand orchid sheraton satoria yogyakarta rumah 2 lantai luas,rumah dekat akses transportasi dekat pusat belanja
Jual Rumah di Maguwoharjo Sleman,"Depok, Sleman",14000000000.0,3.0,2.0,1,126.0,100.0,0.013979468750156411,0.025316455696202535,0.005319148936170213,0.0,3.571429591837026e-05,8.461545693628798e-05,jual rumah maguwoharjo sleman,depok sleman,jual rumah full furnish lokasi denok maguwoharjo sleman yogyakarta harga 1 4 milyar nego,rumah full furnished dekat pusat belanja dekat sekolah
MURAH MURAH!! JUAL KOS KOSAN SELATAN KAMPUS UTY GLAGAHSARI,"Umbulharjo, Yogyakarta",16000000000.0,18.0,4.0,2,138.0,250.0,0.015981540894826146,0.2151898734177215,0.015957446808510637,0.05263157894736842,3.914286832653381e-05,0.0002128206947185425,murah murah jual kos kosan selatan kampus uty glagahsari,umbulharjo yogyakarta,bismillah jual kos kosan selatan kampus uty glagahsari umbulharjo lokasi dekat uty glagahsari,rumah dekat sekolah dekat fasilitas sehat
"CEPET-CEPETAN......BU..BU..BU..
KOS-KOSAN MURAH MERIAH","Banguntapan, Bantul",1000000000.0,16.0,3.0,1,283.0,325.0,0.0009659998098031464,0.18987341772151897,0.010638297872340424,0.0,8.057145159184332e-05,0.00027692331360966975,cepet cepetan bu bu bu kos kosan murah riah,banguntapan bantul,cepet cepetan bu bu bu kos kosan murah riah bawah pasar lokasi dekat kampus surya,rumah dekat sekolah
Rumah Super Mewah 3 Lantai di Kawasan Elite Yogyakarta,"Ngaglik, Sleman",77000000000.0,4.0,3.0,4,289.0,600.0,0.077044741307253,0.0379746835443038,0.010638297872340424,0.15789473684210525,8.228573779592509e-05,0.000511966249543803,rumah super mewah 3 lantai kawasan elite yogyakarta,ngaglik sleman,rumah super mewah kawasan elite komplek kota yogyakarta bangun kokoh tiang,rumah dekat pusat belanja dekat sekolah
Rumah Barat Malioboro Yogyakarta,"Wirobrajan, Yogyakarta",29000000000.0,5.0,4.0,1,208.0,220.0,0.02899500983517941,0.05063291139240507,0.015957446808510637,0.0,5.9142874040821155e-05,0.0001871796471620916,rumah barat malioboro yogyakarta,wirobrajan yogyakarta,jual rumah tengah kota jogja berlokas sangat strategis barat malioboro yogyakarta lingkung,rumah dekat sekolah
Rumah Siap Huni Pondok Permai Tamantirta 2,"Kasihan, Bantul",850000000.0,2.0,1.0,1,107.0,50.0,0.0008158443989529163,0.012658227848101266,0.0,0.0,3.028572293877798e-05,4.1880377675536474e-05,rumah siap huni pondok permai tamantirta 2,kasihan bantul,rumah siap huni kawasan rumah pondok permai tamantirta 2 cluster 1 spesifikasi bangun,rumah siap huni dekat sekolah
